title	author	year	category
Little Dorrit	Charles Dickens	1857	Canonical 
Oliver Twist	Charles Dickens	1839	Canonical 
The Life and Adventures of Nicholas Nickleby	Charles Dickens	1839	Canonical 
The Mystery of Edwin Drood	Charles Dickens	1870	Canonical 
The Pickwick Papers	Charles Dickens	1836	Canonical 
Jane Eyre	Charlotte Bronte	1847	Canonical 
Villette	Charlotte Bronte	1853	Canonical 
Cranford	Elizabeth Gaskell	1853	Canonical 
Mary Barton	Elizabeth Gaskell	1848	Canonical 
North and South	Elizabeth Gaskell	1854	Canonical 
Agnes Grey	Anne Bronte	1847	Canonical 
Adam Bede	George Eliot	1859	Canonical 
Daniel Deronda	George Eliot	1876	Canonical 
Middlemarch	George Eliot	1872	Canonical 
Silas Marner	George Eliot	1861	Canonical 
The Mill on the Floss	George Eliot	1860	Canonical 
Emma	Jane Austen	1815	Canonical 
Mansfield Park	Jane Austen	1814	Canonical 
Persuasion	Jane Austen	1818	Canonical 
Pride and Prejudice	Jane Austen	1813	Canonical 
The Picture of Dorian Gray	Oscar Wilde	1890	Canonical 
The Tenant of Wildfell Hall	Anne Bronte	1848	Canonical 
Sartor Resartus	Thomas Carlyle	1834	Canonical 
Old Mortality	Walter Scott	1816	Canonical 
Redgauntlet	Walter Scott	1824	Canonical 
The Heart of Midlothian	Walter Scott	1818	Canonical 
Waverley	Walter Scott	1814	Canonical 
No Name	Wilkie Collins	1862	Canonical 
The Moonstone	Wilkie Collins	1868	Canonical 
The Woman in White	Wilkie Collins	1859	Canonical 
The History of Henry Esmond	William Makepeace Thackeray	1852	Canonical 
Vanity Fair	William Makepeace Thackeray	1847	Canonical 
Dracula	Bram Stoker	1897	Canonical 
The Well at the World's end	William Morris	1896	Canonical 
The Narrative of Arthur Gordon Pym	Edgar Allan Poe	1838	Canonical 
The Ambassadors	Henry James	1903	Canonical 
The Awkward Age	Henry James	1899	Canonical 
The Bostonians	Henry James	1886	Canonical 
The Golden Bowl	Henry James	1904	Canonical 
The Portrait of a Lady	Henry James	1881	Canonical 
The Wings of Dove	Henry James	1902	Canonical 
Moby Dick	Herman Melville	1851	Canonical 
The Deerslayers	James Fenimore Cooper	1841	Canonical 
A Christmas Carol	Charles Dickens	1843	Canonical 
Little Women	Louisa May Alcott	1868	Canonical 
Puddnhead Wilson	Mark Twain	1893	Canonical 
The Adventures of Finn	Mark Twain	1884	Canonical 
The Mysterious Stranger	Mark Twain	1916	Canonical 
The Marble Faun	Nathaniel Hawthorne	1859	Canonical 
The Scarlet Letter	Nathaniel Hawthorne	1850	Canonical 
Walden	Henry David Thoreau	1854	Canonical 
A Conneticut Yankee in King Arthurs	Mark Twain	1889	Canonical 
Babbitt	Sinclair Lewis	1922	Canonical 
A Tale of Two Cities	Charles Dickens	1859	Canonical 
Sister Carrie	Theodore Dreiser	1900	Canonical 
My Antonia	Willa Cather	1918	Canonical 
The Old Wives Tale	Arnold Bennett	1908	Canonical 
Portrait of the Artist as a Young Man	James Joyce	1916	Canonical 
Ulysses	James Joyce	1922	Canonical 
Lord Jim	Joseph Conrad	1900	Canonical 
Nostromo	Joseph Conrad	1904	Canonical 
The Secret Agent	Joseph Conrad	1907	Canonical 
Under Western Eyes	Joseph Conrad	1911	Canonical 
Victory: An Island Tale	Joseph Conrad	1915	Canonical 
Bleak House	Charles Dickens	1853	Canonical 
The Rainbow	D. H. Lawrence	1915	Canonical 
Women in Love	D. H. Lawrence	1920	Canonical 
Kim	Rudyard Kipling	1901	Canonical 
Puck of Pooks Hill	Rudyard Kipling	1906	Canonical 
Jude the Obscure	Thomas Hardy	1895	Canonical 
Tess of the dUrbervilles	Thomas Hardy	1891	Canonical 
The Mayor of Casterbridge	Thomas Hardy	1886	Canonical 
The Return of the Native	Thomas Hardy	1878	Canonical 
David Copperfield	Charles Dickens	1850	Canonical 
Great Expectations	Charles Dickens	1860	Canonical 
Hard Times	Charles Dickens	1854	Canonical 
A Prisoner in Fairyland	Algernon Blackwood	1913	Non-Canonical 
The Centaur	Algernon Blackwood	1911	Non-Canonical 
Ruth Fielding at the War Front	Alice B. Emerson	1918	Non-Canonical 
The International Spy	Allen Upward	1904	Non-Canonical 
A Texas Matchmaker	Andy Adams	1904	Non-Canonical 
The Filigree Ball	Anna Katharine Green	1903	Non-Canonical 
Looking Further Backward	Arthur Dudley Vinton	1890	Non-Canonical 
The Hill Of Dreams	Arthur Machen	1907	Non-Canonical 
Jean of the Lazy A	Burton E. Stevenson	1915	Non-Canonical 
The Gloved Hand	Baroness Emma Orczy	1913	Non-Canonical 
The Filibusters	Charles John Cutcliffe Wright Hyne	1900	Non-Canonical 
Wunpost	Dane Coolidge	1920	Non-Canonical 
Love Insurance	Earl Derr Biggers	1914	Non-Canonical 
The Wouldbegoods	Edith Nesbit	1899	Non-Canonical 
Wet Magic	Edith Nesbit	1913	Non-Canonical 
An Amiable Charlatan	Edward Phillips Oppenheim	1916	Non-Canonical 
The Double Traitor	Edward Phillips Oppenheim	1915	Non-Canonical 
The Zeppelin 's Passenger	Edward Phillips Oppenheim	1918	Non-Canonical 
The People of the Ruins	Edward Shanks	1920	Non-Canonical 
The Honor of the Name	Ernest Bramah Smith	1891	Non-Canonical 
The Riddle of the Sands	Eugene Percy Lyle	1903	Non-Canonical 
The Missourian	Ford Madox Ford	1905	Non-Canonical 
Privy Seal	Frederic Arnold Kummer	1907	Non-Canonical 
Condemned as a Nihilist	Harold MacGrath	1893	Non-Canonical 
The Afterglow	George Allan England	1913	Non-Canonical 
The Flying Legion	George Allan England	1920	Non-Canonical 
West Wind Drift	George Barr McCutcheon	1920	Non-Canonical 
Trilby	George W. Ogden	1894	Non-Canonical 
Olga Romanoff or , The Syren of the Skies	George F. Worts	1894	Non-Canonical 
The Princess and Curdie	George Griffith	1883	Non-Canonical 
The Adventures of Don Lavington	George MacDonald	1896	Non-Canonical 
A Voyage to the Moon	George Manville Fenn	1827	Non-Canonical 
Man on the Box	Harold MacGrath	1904	Non-Canonical 
The Puppet Crown	Homer Eon Flint	1901	Non-Canonical 
Men of Iron	Ida Alexa Ross Wylie	1891	Non-Canonical 
Towards Morning	James Branch Cabell	1918	Non-Canonical 
A Strange Manuscript Found in a Copper Cylinder	James De Mille	1888	Non-Canonical 
Lost in the Fog	James Malcom Rymer	1870	Non-Canonical 
Varney the Vampire	James Oliver Curwood	1847	Non-Canonical 
The Danger Trail	John Meade Falkner	1910	Non-Canonical 
The Lost Stradivarius	John Meade Falkner	1895	Non-Canonical 
The Nebuly Coat	Joseph Hocking	1903	Non-Canonical 
The Weapons of Mystery	Joseph Smith Fletcher	1890	Non-Canonical 
Diane of the Green Van	Lord Dunsany	1914	Non-Canonical 
The Treasure Trail	Mary E. Bradley	1918	Non-Canonical 
Mizora : A Prophecy	Mary Roberts Rinehart	1889	Non-Canonical 
Across the Zodiac	Percy Greg	1880	Non-Canonical 
Bardelys the Magnificent	Rafael Sabatini	1905	Non-Canonical 
Soldiers of Fortune	Richard Harding Davis	1897	Non-Canonical 
The Beetle	Richard Marsh	1897	Non-Canonical 
The Triumphs of Eugne Valmont	Robert Barr	1906	Non-Canonical 
Erling the Bold	Robert Michael Ballantyne	1869	Non-Canonical 
The Dog Crusoe and His Master	Robert Michael Ballantyne	1894	Non-Canonical 
Ailsa Paige	Robert William Chambers	1910	Non-Canonical 
In Search of the Unknown	Robert William Chambers	1904	Non-Canonical 
In the Quarter	Robert William Chambers	1894	Non-Canonical 
Erewhon , or Over The Range	Samuel Butler	1910	Non-Canonical 
The road to Frontenac	Samuel Merwin	1901	Non-Canonical 
The Revolt of Man	Sir Walter Besant	1882	Non-Canonical 
The Brass Bottle	Thomas Anstey Guthrie	1900	Non-Canonical 
The Doomsman	Van Tassel Sutphen	1906	Non-Canonical 
The Border Legion	Zane Grey	1916	Non-Canonical 
The Daltons; Or, Three Roads In Life. Volume I (of II)	Charles James Lever	1850	Non-Canonical 
Melmoth the Wanderer, Vol. 3	Charles Robert Maturin	1820	Non-Canonical 
Melmoth the Wanderer, Vol. 2	Charles Robert Maturin	1820	Non-Canonical 
The Wanderer; or, Female Difficulties (Volume 4 of 5)	Fanny Burney	1814	Non-Canonical 
The Wanderer; or, Female Difficulties (Volume 2 of 5)	Fanny Burney	1814	Non-Canonical 
The Wanderer; or, Female Difficulties (Volume 3 of 5)	Fanny Burney	1814	Non-Canonical 
The Vicar of Wrexhill	Frances Milton Trollope	1837	Non-Canonical 
The Fortunes of the Colville Family; or, A Cloud with its Silver Lining	Frank Edward Smedley	1853	Non-Canonical 
Harry Coverdale's Courtship, and All That Came of It	Frank Edward Smedley	1854	Non-Canonical 
Lewis Arundel; Or, The Railroad Of Life	Frank Edward Smedley	1852	Non-Canonical 
The Little Savage	Frederick Marryat	1848	Non-Canonical 
Newton Forster	Frederick Marryat	1832	Non-Canonical 
Snarleyyow; or, The Dog Fiend	Frederick Marryat	1837	Non-Canonical 
