title	author	year	length
A Prisoner in Fairyland	Algernon Blackwood	1913
The Centaur	Algernon Blackwood	1911
Ruth Fielding at the War Front	Alice B. Emerson	1918
The International Spy	Allen Upward	1904
A Texas Matchmaker	Andy Adams	1904
The Filigree Ball	Anna Katharine Green	1903
Looking Further Backward	Arthur Dudley Vinton	1890
The Hill Of Dreams	Arthur Machen	1907
Jean of the Lazy A	Burton E. Stevenson	1915
The Gloved Hand	Baroness Emma Orczy	1913
The Filibusters	Charles John Cutcliffe Wright Hyne	1900
Wunpost	Dane Coolidge	1920
Love Insurance	Earl Derr Biggers	1914
The Wouldbegoods	Edith Nesbit	1899
Wet Magic	Edith Nesbit	1913
An Amiable Charlatan	Edward Phillips Oppenheim	1916
The Double Traitor	Edward Phillips Oppenheim	1915
The Zeppelin 's Passenger	Edward Phillips Oppenheim	1918
The People of the Ruins	Edward Shanks	1920
The Honor of the Name	Ernest Bramah Smith	1891
The Riddle of the Sands	Eugene Percy Lyle	1903
The Missourian	Ford Madox Ford	1905
Privy Seal	Frederic Arnold Kummer	1907
Condemned as a Nihilist	Harold MacGrath	1893
The Afterglow	George Allan England	1913
The Flying Legion	George Allan England	1920
West Wind Drift	George Barr McCutcheon	1920
Trilby	George W. Ogden	1894
Olga Romanoff or , The Syren of the Skies	George F. Worts	1894
The Princess and Curdie	George Griffith	1883
The Adventures of Don Lavington	George MacDonald	1896
A Voyage to the Moon	George Manville Fenn	1827
Man on the Box	Harold MacGrath	1904
The Puppet Crown	Homer Eon Flint	1901
Men of Iron	Ida Alexa Ross Wylie	1891
Towards Morning	James Branch Cabell	1918
A Strange Manuscript Found in a Copper Cylinder	James De Mille	1888
Lost in the Fog	James Malcom Rymer	1870
Varney the Vampire	James Oliver Curwood	1847
The Danger Trail	John Meade Falkner	1910
The Lost Stradivarius	John Meade Falkner	1895
The Nebuly Coat	Joseph Hocking	1903
The Weapons of Mystery	Joseph Smith Fletcher	1890
Diane of the Green Van	Lord Dunsany	1914
The Treasure Trail	Mary E. Bradley	1918
Mizora : A Prophecy	Mary Roberts Rinehart	1889
Across the Zodiac	Percy Greg	1880
Bardelys the Magnificent	Rafael Sabatini	1905
Soldiers of Fortune	Richard Harding Davis	1897
The Beetle	Richard Marsh	1897
The Triumphs of Eugne Valmont	Robert Barr	1906
Erling the Bold	Robert Michael Ballantyne	1869
The Dog Crusoe and His Master	Robert Michael Ballantyne	1894
Ailsa Paige	Robert William Chambers	1910
In Search of the Unknown	Robert William Chambers	1904
In the Quarter	Robert William Chambers	1894
Erewhon , or Over The Range	Samuel Butler	1910
The road to Frontenac	Samuel Merwin	1901
The Revolt of Man	Sir Walter Besant	1882
The Brass Bottle	Thomas Anstey Guthrie	1900
The Doomsman	Van Tassel Sutphen	1906
The Border Legion	Zane Grey	1916
The Daltons; Or, Three Roads In Life. Volume I (of II)	Charles James Lever	1850
