title	author	year	length
Scottish Cathedrals and Abbeys	Dugald Butler	1901
A Text-Book of the History of Architecture: Seventh Edition, revised	Alfred Dwight Foster Hamlin	1896
Japanese Homes and Their Surroundings	Edward Sylvester Morse	1885
The Architecture of Provence and the Riviera	David MacGibbon	1888
Historic Ornament, Vol. 2 (of 2): Treatise on decorative art and architectural ornament	James Ward	1897
How to Study Architecture	Charles Henry Caffin	1917
A Dictionary of Slang, Cant, and Vulgar Words: Used at the Present Day in the Streets of London; the Universities of Oxford and Cambridge; the Houses of Parliament; the Dens of St. Giles; and the Palaces of St. James.	John Camden Hotten	1860
THE ENCYCLOPAEDIA BRITANNICA-Vol 1	University of Cambridge	1910
THE ENCYCLOPAEDIA BRITANNICA-Vol 2	University of Cambridge	1910
Through the Brazilian Wilderness	Theodore Roosevelt	1914
Gold, Sport, and Coffee Planting in Mysore: With chapters on coffee planting in Coorg, the Mysore representative assembly, the Indian congress, caste and the Indian silver question, being the 38 years' experiences of a Mysore planter	Robert Henry Elliot	1898
The Economic Aspect of Geology	Charles Kenneth Leith	1921
The Shores of the Adriatic: The Austrian Side, The K{\"u}stenlande, Istria, and Dalmatia	Frederick Hamilton Jackson	1906
Island Life; Or, The Phenomena and Causes of Insular Faunas and Floras	Alfred Russel Wallace	1880
Sea and Sardinia	David Herbert Lawrence	1921
Sketches from the Subject and Neighbour Lands of Venice	Edward Augustus Freeman	1881
The Principles of Stratigraphical Geology	John Edward Marr	1898
Babylonian and Assyrian Laws, Contracts and Letters	Claude Hermann Walter Johns	1904
Putnam's Handy Law Book for the Layman	Albert Sidney Bolles	1921
Marriage and Divorce Laws of the World	Hyacinthe Ringrose	1911
The Law and the Poor	Sir Edward Abbott Parry	1914
International Law	George Grafton Wilson, George Fox Tucker	1901
The Criminal Prosecution and Capital Punishment of Animals	Edward Payson Evans	1906
The English Constitution	Walter Bagehot	1867
The Law of the Sea: A manual of the principles of admiralty law for students, mariners, and ship operators	George L. Canfield, George W. Dalzell, J. Y. Brinton	1921
Woman and the Republic: A Survey of the Woman-Suffrage Movement in the United States and a Discussion of the Claims and Arguments of Its Foremost Advocates	Helen Kendrick Johnson	1897
The American Judiciary	Simeon Eben Baldwin	1905
A Practical Physiology: A Text-Book for Higher Schools	Albert Franklin Blaisdell	1897
Amusements in Mathematics	Henry Ernest Dudeney	1917
On the Genesis of Species	St. George Jackson Mivart	1871
Great Astronomers	Robert Stawell Ball	1895
Evolution, Old \& New: Or, the Theories of Buffon, Dr. Erasmus Darwin and Lamarck; as compared with that of Charles Darwin	Samuel Butler	1879
Darwin, and After Darwin, Volumes 1 and 3: An Exposition of the Darwinian Theory and a Discussion of Post-Darwinian Questions	George John Romanes	1892
Creative Evolution	Henri Bergson	1907
Myths and Marvels of Astronomy	Richard Anthony Proctor	1877
A Popular History of Astronomy During the Nineteenth Century: Fourth Edition	Agnes Mary AClerke	1887
A Text-Book of Astronomy	George Cary Comstock	1901
Astronomical Myths: Based on Flammarions's \'History of the Heavens\'	 Camille Flammarion, John Frederick Blake	1877
Darwin, and After Darwin, Volume 2 of 3: Post-Darwinian Questions: Heredity and Utility	George John Romanes	1892
A Civic Biology, Presented in Problems	George William Hunter	1914
Physics	Willis E. Tower, Charles M. Turton, Charles H. Smith, Thomas D. Cope	1920
A Century of Science, and Other Essays	John Fiske	1899
Side-Lights on Astronomy and Kindred Fields of Popular Science	Simon Newcomb	1906
Elementary Zoology, Second Edition	Vernon Lyman Kellogg	1901
Experiments on Animals	Stephen Paget	1888
The Sea-beach at Ebb-tide: A Guide to the Study of the Seaweeds and the Lower Animal Life Found Between Tide-marks	Augusta Foote Arnold	1901
The Science and Philosophy of the Organism	Hans Driesch	1908
The Organism as a Whole, from a Physicochemical Viewpoint	Jacques Loeb	1916
A Guide to the Study of Fishes, Volume 1 (of 2)	David Starr Jordan	1905
Evolution: Its nature, its evidence, and its relation to religious thought	Joseph LeConte	1888
The Races of Man: An Outline of Anthropology and Ethnography	Joseph Deniker	1900
Observations of a Naturalist in the Pacific Between 1896 and 1899, Volume 1: Vanua Levu, Fiji	Henry Brougham Guppy	1903
Animal Life and Intelligence	Conwy Lloyd Morgan	1890
Stargazing: Past and Present	Sir Joseph Norman Lockyer	1878
Observations of a Naturalist in the Pacific Between 1896 and 1899, Volume 2: Plant-Dispersal	Henry Brougham Guppy	1903
The Logic of Chance, 3rd edition: An Essay on the Foundations and Province of the Theory of Probability, With Especial Reference to Its Logical Bearings and Its Application to Moral and Social Science and to Statistics	John Venn	1888
Biology and Its Makers: With Portraits and Other Illustrations	William Albert Locy	1908
The Crayfish: An Introduction to the Study of Zoology.	Thomas Henry Huxley	1880
History of Botany (1530-1860)	Julius Sachs	1875
The Universal Kinship	John Howard Moore	1906
The philosophy of biology	James Johnstone	1914
Hygienic Physiology : with Special Reference to the Use of Alcoholic Drinks and Narcotics	Joel Dorman Steele	1884
Species and Varieties, Their Origin by Mutation	Hugo de Vries	1905
The Naturalist in La Plata	William Henry Hudson	1892
Studies in the Psychology of Sex, Volume 1: The Evolution of Modesty; The Phenomena of Sexual Periodicity; Auto-Erotism	Havelock Ellis	1900
Studies in the Psychology of Sex, Volume 2: Sexual Inversion	Havelock Ellis	1900
The Mind of the Child, Part II: The Development of the Intellect, International Education; Series Edited By William T. Harris, Volume IX.	William T. Preyer	1888
The Measurement of Intelligence: An Explanation of and a Complete Guide for the Use of the; Stanford Revision and Extension of the Binet-Simon; Intelligence Scale	Lewis Madison Terman	1916
Human Traits and their Social Significance	Irwin Edman	1919
Human Personality and Its Survival of Bodily Death	Frederic William Henry Myers	1903
Mysterious Psychic Forces: An Account of the Author's Investigations in Psychical Research, Together with Those of Other European Savants	Camille Flammarion	1907
The Group Mind: A Sketch of the Principles of Collective Psychology: With Some Attempt to Apply Them to the Interpretation of National Life and Character	William McDougall	1920
On the State of Lunacy and the Legal Provision for the Insane: With Observations on the Construction and Organization of Asylums	John Thomas Arlidge	1859
The Criminal	Havelock Ellis	1890
Fact and Fable in Psychology	Joseph Jastrow	1900
A Beginner's Psychology	Edward Bradford Titchener	1915
The Law of Psychic Phenomena: A working hypothesis for the systematic study of hypnotism, spiritism, mental therapeutics, etc.	Thomson Jay Hudson	1893
Psychology: Briefer Course	William James	1892
The Principles of Psychology, Volume 1 (of 2)	William James	1890
The Principles of Psychology, Volume 2 (of 2)	William James	1890
Browning as a Philosophical and Religious Teacher	Sir Jones, Henry	1891
The Life of Reason: The Phases of Human Progress	George Santayana	1905
An Introduction to Philosophy	George Stuart Fullerton	1906
The Approach to Philosophy	Ralph Barton Perry	1905
The Will to Believe, and Other Essays in Popular Philosophy	William James	1896
Christianity and Greek Philosophy: or, the relation between spontaneous and reflective thought in Greece and the positive teaching of Christ and His Apostles	Benjamin Franklin Cocker	1870
A History of Mediaeval Jewish Philosophy	Isaac Husik	1916
The Philosophy of Friedrich Nietzsche	Henry Louis Mencken	1908
Philosophical Studies	George Edward Moore	1883
What Nietzsche Taught	Willard Huntington Wright	1915
An ethical philosophy of life presented in its main outlines	Felix Adler	1918
A Beginner's History of Philosophy, Vol. 1: Ancient and Medieval Philosophy	Herbert Ernest Cushman	1910
Towards the Great Peace	Ralph Adams Cram	1922
